# Rime user dictionary
#@/db_name	wubi86_jidian.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	8083
#@/user_id	70ef9364-8391-414d-98f4-a1f5a8757344
cyab 	圣诞节	c=1 d=0.657047 t=8083
d 	在	c=43 d=1.94402 t=8083
da 	左	c=1 d=1 t=5919
dadk 	左右	c=1 d=1 t=6888
dc 	友	c=3 d=1 t=6848
dcg 	码	c=2 d=0.0291588 t=8083
dcud 	友善	c=1 d=1 t=2959
dd 	大	c=32 d=1.00999 t=8083
ddg 	碱	c=1 d=1 t=2327
ddic 	大汉	c=1 d=1 t=4115
ddlp 	大连	c=1 d=1 t=6351
ddoy 	大米	c=1 d=1 t=6792
ddpd 	厉害	c=1 d=1 t=3310
ddpe 	大家	c=1 d=1 t=5659
ddsk 	大哥	c=1 d=1 t=1126
ddsv 	大概	c=1 d=1 t=4557
ddu 	套	c=2 d=0.20495 t=8083
ddvd 	大姑	c=1 d=1 t=3693
dfe 	辰	c=1 d=1 t=7744
dfsv 	压根	c=1 d=1 t=2728
dg 	三	c=8 d=0.465054 t=8083
dgh 	古	c=2 d=1.00008 t=2769
dgip 	感觉	c=4 d=1.00011 t=5386
dgit 	威海	c=1 d=1 t=1211
dgpw 	研究	c=3 d=1.00025 t=6624
dgt 	厂	c=1 d=1 t=7751
dgty 	犬	c=1 d=1 t=4059
dgv 	威	c=1 d=1 t=881
dgwa 	古代	c=1 d=1 t=1886
dgwh 	三个	c=1 d=0.236928 t=8083
dgwr 	硬件	c=4 d=1.00647 t=7471
dgyn 	厨房	c=1 d=1 t=4856
dhb 	存	c=2 d=1.0004 t=4153
dhbc 	存取	c=3 d=2.73977 t=4322
dhc 	破	c=1 d=1 t=5895
dhwy 	存储	c=8 d=1.64226 t=7582
dit 	砂	c=1 d=1 t=3223
diu 	泵	c=1 d=1 t=5916
dj 	百	c=1 d=1 t=1972
djd 	非	c=5 d=1.00449 t=7977
djtu 	百科	c=1 d=1 t=3588
djvt 	百姓	c=1 d=0.0430669 t=8083
djya 	百度	c=1 d=1 t=3582
