# Rime user dictionary
#@/db_name	wubi86_jidian.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	724
#@/user_id	70ef9364-8391-414d-98f4-a1f5a8757344
mttu 	几乎	c=1 d=1 t=651
mwgh 	内政	c=1 d=1 t=370
mwuk 	内部	c=1 d=1 t=53
n 	民	c=1 d=1 t=393
nhnu 	收买	c=1 d=1 t=399
nnw 	快	c=1 d=1 t=669
nudu 	买	c=5 d=2.26055 t=516
osiq 	灯光	c=1 d=1 t=472
p 	这	c=2 d=1.65705 t=213
pe 	家	c=2 d=1.79852 t=193
pfq 	完	c=1 d=1 t=671
pfwg 	完全	c=1 d=1 t=236
pg 	定	c=1 d=1 t=431
pgn 	写	c=2 d=1.956 t=704
pgrm 	定制	c=1 d=1 t=239
ppue 	之前	c=1 d=1 t=89
pvhj 	安卓	c=2 d=1.9802 t=581
pwa 	空	c=1 d=1 t=470
q 	我	c=23 d=8.9103 t=720
qaj 	错	c=1 d=1 t=410
qcxf 	勾结	c=1 d=1 t=386
qd 	然	c=1 d=1 t=260
qetw 	解答	c=2 d=1.98511 t=189
qfdf 	镇压	c=1 d=1 t=389
qhru 	外接	c=1 d=1 t=435
qhuk 	外部	c=1 d=1 t=60
qhuq 	外交	c=1 d=1 t=374
qkd 	句	c=1 d=1 t=544
qkqq 	够	c=1 d=1 t=404
qn 	包	c=1 d=1 t=569
qnr 	饭	c=1 d=1 t=263
qntt 	饿	c=1 d=1 t=264
qq 	多	c=4 d=1.30856 t=650
qr 	铁	c=1 d=1 t=512
qsqs 	钉钉	c=1 d=1 t=49
qtqk 	狗	c=1 d=1 t=453
qvte 	键盘	c=1 d=1 t=584
r 	的	c=28 d=6.1826 t=724
rcn 	把	c=2 d=1.60351 t=380
rcry 	反抗	c=1 d=1 t=395
rff 	持	c=1 d=1 t=381
rfm 	质	c=1 d=1 t=299
rfw 	扶	c=1 d=1 t=397
rgk 	后	c=3 d=1.76915 t=331
rhf 	看	c=3 d=2.07078 t=606
rhk 	牛	c=1 d=1 t=462
riq 	挑	c=1 d=1 t=706
rjny 	担心	c=1 d=1 t=244
rjue 	提前	c=1 d=1 t=202
rkxw 	操纵	c=2 d=1.956 t=371
rmc 	投	c=1 d=1 t=18
rp 	近	c=2 d=1.08804 t=681
rprm 	控制	c=2 d=1.89583 t=367
rrg 	拍	c=1 d=1 t=265
rs 	打	c=3 d=2.79437 t=138
rsga 	打开	c=1 d=1 t=113
rt 	手	c=1 d=1 t=110
ruuj 	拼音	c=1 d=1 t=14
rv 	扫	c=1 d=1 t=16
rvyl 	势	c=1 d=1 t=460
rvyo 	热	c=1 d=1 t=30
s 	要	c=8 d=2.22083 t=665
sc 	权	c=2 d=1.89583 t=379
sg 	本	c=1 d=1 t=122
sghg 	西	c=1 d=1 t=100
sgj 	醒	c=1 d=1 t=402
sglf 	配置	c=3 d=2.96536 t=585
shn 	想	c=2 d=1.77105 t=284
sk 	可	c=4 d=1.56666 t=632
skce 	可能	c=1 d=1 t=261
skny 	可以	c=7 d=1.51908 t=597
sks 	哥	c=1 d=1 t=271
sm 	机	c=1 d=1 t=111
srmh 	棉	c=1 d=1 t=32
su 	样	c=1 d=1 t=130
syyt 	杭州	c=1 d=1 t=609
t 	和	c=2 d=1.32628 t=668
tc 	么	c=6 d=4.18237 t=254
tdut 	知道	c=3 d=1.20941 t=465
tf 	行	c=2 d=1.11648 t=576
tffu 	等	c=3 d=2.05235 t=604
tfwx 	自动化	c=1 d=1 t=667
thd 	自	c=1 d=1 t=355
thfc 	自动	c=1 d=1 t=696
thgc 	版	c=1 d=1 t=325
thnn 	自己	c=1 d=1 t=238
thsu 	怎样	c=2 d=1.05843 t=579
thtc 	怎么	c=1 d=1 t=502
tj 	得	c=1 d=1 t=167
tkh 	种	c=1 d=1 t=428
tmh 	币	c=1 d=1 t=19
tqpg 	稳定	c=1 d=1 t=267
trww 	特价	c=1 d=1 t=324
ts 	条	c=1 d=1 t=602
tuuj 	简单	c=1 d=1 t=43
tve 	很	c=1 d=1 t=67
ty 	入	c=1 d=1 t=9
ud 	关	c=1 d=1 t=385
udg 	减	c=3 d=2.97025 t=524
udh 	着	c=2 d=1.11884 t=523
udtu 	关税	c=1 d=1 t=354
uduk 	善	c=1 d=1 t=713
ue 	前	c=1 d=1 t=126
ufqv 	斗争	c=1 d=1 t=396
uh 	站	c=3 d=2.93635 t=499
uhkg 	站	c=6 d=3.47758 t=612
ujfj 	单	c=1 d=1 t=280
ukn 	总	c=2 d=1.20909 t=626
umd 	端	c=1 d=1 t=322
usr 	新	c=1 d=1 t=628
utft 	首都	c=1 d=1 t=445
uttf 	首先	c=1 d=1 t=48
ux 	北	c=4 d=3.85946 t=498
v 	发	c=2 d=1.08291 t=723
vb 	好	c=10 d=3.64632 t=710
vbet 	好用	c=1 d=1 t=231
vfb 	那	c=6 d=2.45901 t=630
vidf 	剥夺	c=1 d=1 t=351
w 	人	c=2 d=1.956 t=401
wadc 	代码	c=1 d=1 t=88
wagj 	代理	c=1 d=1 t=400
wcjf 	公里	c=1 d=1 t=181
wcng 	公司	c=2 d=1.83527 t=722
wdn 	优	c=1 d=1 t=459
wdt 	做	c=1 d=1 t=35
wfc 	会	c=5 d=1.92069 t=694
wfhg 	值	c=1 d=1 t=398
wfny 	传	c=1 d=1 t=104
wftc 	什么	c=1 d=1 t=234
wg 	全	c=2 d=1.79057 t=78
wgc 	倒	c=1 d=1 t=673
wget 	使用	c=3 d=2.74831 t=61
wgey 	命脉	c=1 d=1 t=366
wh 	个	c=7 d=3.68682 t=639
wks 	保	c=1 d=1 t=302
wq 	你	c=10 d=3.77749 t=716
wty 	八	c=1 d=1 t=168
wu 	们	c=3 d=1.94888 t=721
wv 	分	c=2 d=1.25158 t=412
ww 	从	c=1 d=1 t=473
wwf 	坐	c=1 d=1 t=177
wx 	化	c=1 d=1 t=697
wxf 	华	c=2 d=1.99005 t=361
wycm 	领	c=2 d=1.2466 t=376
wyjj 	今日	c=1 d=1 t=625
wyjq 	今晚	c=1 d=1 t=118
wyna 	偏	c=1 d=1 t=656
wyv 	食	c=1 d=1 t=252
xciy 	经济	c=1 d=1 t=365
xg 	线	c=3 d=1.47986 t=615
xwg 	给	c=3 d=2.11443 t=172
xx 	比	c=1 d=1 t=446
y 	主	c=2 d=1.88692 t=356
ybde 	享有	c=1 d=1 t=375
ybv 	熟	c=1 d=1 t=251
ybwy 	熟食	c=1 d=1 t=258
yeeb 	衣服	c=1 d=1 t=37
yfj 	讲	c=1 d=1 t=72
yh 	让	c=1 d=1 t=314
yi 	就	c=7 d=4.15029 t=565
yiyy 	应该	c=1 d=1 t=596
ymkc 	敲	c=2 d=1.05901 t=653
yn 	记	c=1 d=1 t=102
ynnu 	忘	c=1 d=1 t=670
yt 	放	c=1 d=1 t=421
yuk 	说	c=4 d=2.03747 t=534
yy 	方	c=1 d=1 t=156
yygy 	文	c=1 d=1 t=7
yywr 	文件	c=1 d=1 t=114
yywx 	文化	c=1 d=1 t=455
